"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","1","1","      99,000","11620"," 봉천동","179-58","1988","낙성대현대아파트","136.11","6"
"2","2021","1","2","      87,900","11620"," 봉천동","1706","2000","봉천우성","84.96","26"
"3","2021","1","2","      33,500","11620"," 봉천동","1629-2","1999","동아타운","32.76","3"
"4","2021","1","3","      89,900","11620"," 봉천동","1706","2000","봉천우성","84.96","20"
"5","2021","1","4","     110,000","11620"," 봉천동","1712","2003","관악드림(동아)","114.75","14"
"6","2021","1","4","     111,000","11620"," 봉천동","1730-1","2019","e편한세상서울대입구2단지","59.9","13"
"7","2021","1","4","      81,000","11620"," 봉천동","1712","2003","관악드림(동아)","59.83","13"
"8","2021","1","5","      83,000","11620"," 봉천동","1719","2004","관악동부센트레빌","59.75","8"
"9","2021","1","5","      89,900","11620"," 봉천동","1000","1992","현대(관악)","84.74","3"
"10","2021","1","5","     109,000","11620"," 봉천동","1718","2005","벽산블루밍","101.95","19"
"11","2021","1","5","      99,500","11620"," 봉천동","1717","2004","관악푸르지오","84.75","14"
"12","2021","1","6","      52,000","11620"," 봉천동","1707-1","2000","은천2단지아파트","49.95","2"
"13","2021","1","6","     105,000","11620"," 봉천동","1730-1","2019","e편한세상서울대입구2단지","84.98","2"
"14","2021","1","7","      89,300","11620"," 봉천동","1698-1","1996","보라매삼성","84.84","10"
"15","2021","1","7","     101,500","11620"," 봉천동","1703","2000","봉천동아","114.69","8"
"16","2021","1","8","      96,000","11620"," 봉천동","1708","2000","두산","84.87","6"
"17","2021","1","8","      82,000","11620"," 봉천동","1717","2004","관악푸르지오","59.58","13"
"18","2021","1","9","      83,500","11620"," 봉천동","1716","2003","벽산타운II","79.28","12"
"19","2021","1","9","     100,500","11620"," 봉천동","1717","2004","관악푸르지오","84.2","6"
"20","2021","1","9","     101,900","11620"," 봉천동","1717","2004","관악푸르지오","84.75","20"
"21","2021","1","9","      85,000","11620"," 봉천동","1717","2004","관악푸르지오","59.58","16"
"22","2021","1","9","     104,000","11620"," 봉천동","1717","2004","관악푸르지오","84.2","16"
"23","2021","1","9","      95,000","11620"," 봉천동","1718","2005","벽산블루밍","84.99","12"
"24","2021","1","9","      99,000","11620"," 봉천동","1718","2005","벽산블루밍","84.99","21"
"25","2021","1","9","      77,000","11620"," 봉천동","1718","2005","벽산블루밍","59.99","7"
"26","2021","1","9","      93,000","11620"," 봉천동","1000","1992","현대(관악)","84.74","11"
"27","2021","1","9","      75,700","11620"," 봉천동","1706","2000","봉천우성","59.76","12"
"28","2021","1","9","      80,000","11620"," 봉천동","1712","2003","관악드림(동아)","59.83","4"
"29","2021","1","9","      93,200","11620"," 봉천동","1703","2000","봉천동아","84.87","17"
"30","2021","1","9","     104,500","11620"," 봉천동","1703","2000","봉천동아","114.69","20"
"31","2021","1","9","      75,000","11620"," 봉천동","1703","2000","봉천동아","59.76","15"
"32","2021","1","10","      81,000","11620"," 봉천동","1712","2003","관악드림(삼성)","59.85","25"
"33","2021","1","10","      46,000","11620"," 봉천동","1725","1998","인헌","59.75","1"
"34","2021","1","11","      57,000","11620"," 봉천동","1672-10","2004","탑","81.72","3"
"35","2021","1","12","     103,000","11620"," 봉천동","1712","2003","관악드림(동아)","102","5"
"36","2021","1","12","      87,000","11620"," 봉천동","1718","2005","벽산블루밍","84.99","3"
"37","2021","1","13","      92,200","11620"," 봉천동","1718","2005","벽산블루밍","84.99","21"
"38","2021","1","13","     115,000","11620"," 봉천동","1000","1992","현대(관악)","123.29","13"
"39","2021","1","14","      50,000","11620"," 봉천동","180-261","2001","삼정","83.09","5"
"40","2021","1","14","      58,000","11620"," 봉천동","1707-1","2000","은천2단지아파트","49.95","9"
"41","2021","1","14","      82,000","11620"," 봉천동","1717","2004","관악푸르지오","59.58","9"
"42","2021","1","15","     101,000","11620"," 봉천동","1000","1992","현대(관악)","116.72","1"
"43","2021","1","15","      71,000","11620"," 봉천동","1591-2","1999","서울대입구삼성","59.78","3"
"44","2021","1","15","      50,000","11620"," 봉천동","1725","1998","인헌","59.75","3"
"45","2021","1","15","      75,500","11620"," 봉천동","1706","2000","봉천우성","59.76","22"
"46","2021","1","15","      22,000","11620"," 봉천동","463-1","2013","WS타워","19.63","10"
"47","2021","1","16","     104,200","11620"," 봉천동","1706","2000","봉천우성","114.78","19"
"48","2021","1","16","      75,000","11620"," 봉천동","1522-30","2010","금강아미움(103동)","71.1203","6"
"49","2021","1","16","      89,900","11620"," 봉천동","1719","2004","관악동부센트레빌","59.75","17"
"50","2021","1","16","      87,157","11620"," 봉천동","1699-10","2003","대동황실","84.99","6"
"51","2021","1","16","      73,000","11620"," 봉천동","1718","2005","벽산블루밍","59.99","9"
"52","2021","1","16","      83,500","11620"," 봉천동","1717","2004","관악푸르지오","59.58","18"
"53","2021","1","16","      85,450","11620"," 봉천동","1717","2004","관악푸르지오","59.58","14"
"54","2021","1","16","      79,300","11620"," 봉천동","1729","2015","서희스타힐스","84.93","10"
"55","2021","1","18","      95,500","11620"," 봉천동","1708","2000","두산","84.87","2"
"56","2021","1","18","      76,250","11620"," 봉천동","1706","2000","봉천우성","59.76","7"
"57","2021","1","18","      84,500","11620"," 봉천동","1717","2004","관악푸르지오","59.58","4"
"58","2021","1","18","     105,000","11620"," 봉천동","179-58","1988","낙성대현대아파트","136.11","12"
"59","2021","1","18","      86,800","11620"," 봉천동","1698-1","1996","보라매삼성","84.84","7"
"60","2021","1","18","     133,000","11620"," 봉천동","1730-1","2019","e편한세상서울대입구2단지","84.95","8"
"61","2021","1","19","      93,000","11620"," 봉천동","1718","2005","벽산블루밍","101.95","16"
"62","2021","1","19","      50,000","11620"," 봉천동","1707-1","2000","은천2단지아파트","49.95","1"
"63","2021","1","20","     107,500","11620"," 봉천동","1718","2005","벽산블루밍","114.97","15"
"64","2021","1","20","      34,900","11620"," 봉천동","15-5","2014","대영","44","3"
"65","2021","1","20","      72,400","11620"," 봉천동","1706","2000","봉천우성","59.76","3"
"66","2021","1","21","     109,000","11620"," 봉천동","1730","2019","e편한세상서울대입구1단지","59.9","12"
"67","2021","1","21","     113,000","11620"," 봉천동","1708","2000","두산","114.99","11"
"68","2021","1","22","     107,300","11620"," 봉천동","1730-1","2019","e편한세상서울대입구2단지","59.9","7"
"69","2021","1","22","      51,500","11620"," 봉천동","1725","1998","인헌","59.75","3"
"70","2021","1","22","      96,000","11620"," 봉천동","1718","2005","벽산블루밍","114.97","1"
"71","2021","1","22","      73,200","11620"," 봉천동","1000","1992","현대(관악)","58.59","13"
"72","2021","1","22","      85,000","11620"," 봉천동","1716","2003","벽산타운II","79.28","12"
"73","2021","1","22","      71,500","11620"," 봉천동","1591-2","1999","서울대입구삼성","59.78","7"
"74","2021","1","23","      36,200","11620"," 봉천동","1021","1985","일두(1021)","38.92","4"
"75","2021","1","23","      77,800","11620"," 봉천동","1718","2005","벽산블루밍","59.99","2"
"76","2021","1","23","      86,000","11620"," 봉천동","1717","2004","관악푸르지오","59.58","17"
"77","2021","1","23","     104,500","11620"," 봉천동","1718","2005","벽산블루밍","84.99","16"
"78","2021","1","24","      15,500","11620"," 봉천동","893-1","2014","프라비다M","15.66","8"
"79","2021","1","24","      78,003","11620"," 봉천동","1698-1","1996","보라매삼성","84.84","2"
"80","2021","1","25","      70,000","11620"," 봉천동","1690-163","2001","삼성아트빌(1690-163)","101.94","6"
"81","2021","1","25","      80,000","11620"," 봉천동","1718","2005","벽산블루밍","59.99","18"
"82","2021","1","25","      88,900","11620"," 봉천동","1719","2004","관악동부센트레빌","59.75","6"
"83","2021","1","25","     109,000","11620"," 봉천동","1708","2000","두산","84.87","19"
"84","2021","1","25","      80,000","11620"," 봉천동","1718","2005","벽산블루밍","59.99","18"
"85","2021","1","26","      84,500","11620"," 봉천동","1717","2004","관악푸르지오","59.58","15"
"86","2021","1","26","     102,000","11620"," 봉천동","1708","2000","두산","84.87","21"
"87","2021","1","27","      86,000","11620"," 봉천동","1717","2004","관악푸르지오","59.58","7"
"88","2021","1","27","      93,000","11620"," 봉천동","1718","2005","벽산블루밍","84.99","5"
"89","2021","1","27","      78,000","11620"," 봉천동","1706","2000","봉천우성","59.76","22"
"90","2021","1","27","      78,000","11620"," 봉천동","1718","2005","벽산블루밍","114.99","16"
"91","2021","1","28","     104,500","11620"," 봉천동","1708","2000","두산","84.87","8"
"92","2021","1","28","      90,000","11620"," 봉천동","1730","2019","e편한세상서울대입구1단지","59.96","7"
"93","2021","1","28","      92,700","11620"," 봉천동","1718","2005","벽산블루밍","84.99","8"
"94","2021","1","30","      73,000","11620"," 봉천동","1703","2000","봉천동아","59.76","22"
"95","2021","1","30","      90,500","11620"," 봉천동","1703","2000","봉천동아","84.87","17"
"96","2021","1","30","      89,500","11620"," 봉천동","1708","2000","두산","59.92","17"
"97","2021","1","30","      92,000","11620"," 봉천동","1706","2000","봉천우성","114.78","2"
"98","2021","1","30","      73,500","11620"," 봉천동","1706","2000","봉천우성","59.76","12"
"99","2021","1","30","      76,800","11620"," 봉천동","1000","1992","현대(관악)","58.59","12"
"100","2021","1","30","      78,700","11620"," 봉천동","1718","2005","벽산블루밍","59.99","10"
"101","2021","1","30","      80,000","11620"," 봉천동","1717","2004","관악푸르지오","59.58","3"
"102","2021","1","30","      99,900","11620"," 봉천동","1721","2005","브라운스톤관악","114.98","14"
"103","2021","1","30","     110,000","11620"," 봉천동","1730-1","2019","e편한세상서울대입구2단지","59.9","15"
"104","2021","1","31","      69,900","11620"," 봉천동","179-58","1988","낙성대현대아파트","61.74","8"
"105","2021","1","2","      66,000","11620"," 신림동","551-42","2010","동훈CDI","84.39","3"
"106","2021","1","2","      70,000","11620"," 신림동","1719","2003","우민조원","101.446","5"
"107","2021","1","5","      67,000","11620"," 신림동","1714","2000","삼성산주공(주공3단지)","83.21","8"
"108","2021","1","5","      54,300","11620"," 신림동","1727","2003","그대家","59.6","14"
"109","2021","1","5","      66,500","11620"," 신림동","1717","2002","두영","84.87","10"
"110","2021","1","6","      12,200","11620"," 신림동","1433-55","2013","프라비다트라움","14.05","7"
"111","2021","1","7","      84,000","11620"," 신림동","1736","2007","신림2차푸르지오","114.7143","4"
"112","2021","1","8","      77,000","11620"," 신림동","1743","2020","앰팰리스아파트","72.687","13"
"113","2021","1","9","      43,000","11620"," 신림동","721-2","1988","건영2","59.76","9"
"114","2021","1","9","      42,500","11620"," 신림동","721-2","1988","건영2","59.76","8"
"115","2021","1","9","      37,000","11620"," 신림동","10-10","1978","신안","55.21","4"
