"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","1","4","      55,000","11320"," 쌍문동","59-5","2002","한양6","83.86","3"
"2","2021","1","4","      36,000","11320"," 쌍문동","56","1988","삼익세라믹","42.93","5"
"3","2021","1","4","      51,800","11320"," 쌍문동","721","1996","극동","84.9","4"
"4","2021","1","4","      29,800","11320"," 쌍문동","56","1988","삼익세라믹","42.93","1"
"5","2021","1","5","      51,500","11320"," 쌍문동","59","1988","한양2","76.92","2"
"6","2021","1","5","      52,000","11320"," 쌍문동","721","1996","극동","84.9","3"
"7","2021","1","5","      52,000","11320"," 쌍문동","721","1996","극동","84.9","3"
"8","2021","1","5","      38,000","11320"," 쌍문동","59","1988","한양2","48.96","7"
"9","2021","1","5","      31,300","11320"," 쌍문동","56","1988","삼익세라믹","42.93","1"
"10","2021","1","5","      22,000","11320"," 쌍문동","59","1989","한양2","28.71","13"
"11","2021","1","5","      53,000","11320"," 쌍문동","158","1993","한양7","71.22","7"
"12","2021","1","5","      45,000","11320"," 쌍문동","199-1","1990","금호1","56.73","6"
"13","2021","1","6","      28,000","11320"," 쌍문동","59","1989","한양2","35.1","13"
"14","2021","1","6","      28,000","11320"," 쌍문동","59","1989","한양2","35.1","14"
"15","2021","1","8","      34,000","11320"," 쌍문동","713","2001","에덴","67.404","3"
"16","2021","1","8","      42,000","11320"," 쌍문동","56","1988","삼익세라믹","58.77","1"
"17","2021","1","11","      73,000","11320"," 쌍문동","732","2014","북한산코오롱하늘채","84.98","7"
"18","2021","1","11","      46,900","11320"," 쌍문동","59-3","1991","한양5","65.37","13"
"19","2021","1","12","      47,000","11320"," 쌍문동","산69-1","1991","금호2","69.82","1"
"20","2021","1","12","      44,500","11320"," 쌍문동","59-3","1991","한양5","65.37","5"
"21","2021","1","13","      36,950","11320"," 쌍문동","56","1988","삼익세라믹","42.93","3"
"22","2021","1","13","      31,500","11320"," 쌍문동","321","1995","쌍문금용","59.94","7"
"23","2021","1","13","      21,000","11320"," 쌍문동","450","2000","청화","71.76","5"
"24","2021","1","13","      61,000","11320"," 쌍문동","56","1988","삼익세라믹","79.98","2"
"25","2021","1","14","      50,000","11320"," 쌍문동","59","1988","한양2","76.92","1"
"26","2021","1","14","      44,000","11320"," 쌍문동","56","1988","삼익세라믹","58.77","3"
"27","2021","1","14","      49,000","11320"," 쌍문동","711","2018","도봉금강아미움파크타운","64.4072","12"
"28","2021","1","14","      35,000","11320"," 쌍문동","721","1996","극동","59.92","1"
"29","2021","1","15","      30,000","11320"," 쌍문동","59","1989","한양2","35.1","14"
"30","2021","1","15","      41,000","11320"," 쌍문동","733","2019","솔밭노블리안","54.87","5"
"31","2021","1","16","      56,000","11320"," 쌍문동","59-5","2002","한양6","83.86","6"
"32","2021","1","16","      86,500","11320"," 쌍문동","732","2014","북한산코오롱하늘채","114.98","12"
"33","2021","1","16","      30,900","11320"," 쌍문동","54","1990","현대1","44.55","14"
"34","2021","1","16","      47,500","11320"," 쌍문동","285-5","1987","동익미라벨","84.53","14"
"35","2021","1","16","      30,500","11320"," 쌍문동","59","1989","한양2","35.1","5"
"36","2021","1","17","      63,000","11320"," 쌍문동","731","2007","e편한세상","84.754","2"
"37","2021","1","17","      52,800","11320"," 쌍문동","711","2018","도봉금강아미움파크타운","68.2097","4"
"38","2021","1","18","      58,800","11320"," 쌍문동","59-5","2002","한양6","83.86","6"
"39","2021","1","18","      34,900","11320"," 쌍문동","73","1988","경남","46.3","9"
"40","2021","1","19","      59,700","11320"," 쌍문동","388-33","1986","한양1","66.33","12"
"41","2021","1","19","      69,900","11320"," 쌍문동","729","2006","브라운스톤쌍문","84.969","8"
"42","2021","1","20","      31,700","11320"," 쌍문동","73","1988","경남","44.5","8"
"43","2021","1","20","      70,000","11320"," 쌍문동","727","2004","파라다이스빌","84.84","11"
"44","2021","1","21","      61,700","11320"," 쌍문동","53","1989","성원","84.98","5"
"45","2021","1","21","      68,000","11320"," 쌍문동","195","1996","청구","84.63","18"
"46","2021","1","21","      57,000","11320"," 쌍문동","산69-1","1991","금호2","84.46","15"
"47","2021","1","22","      63,900","11320"," 쌍문동","725","2002","쌍문동삼성래미안","59.9899","12"
"48","2021","1","22","      35,000","11320"," 쌍문동","56","1988","삼익세라믹","42.93","13"
"49","2021","1","22","      37,000","11320"," 쌍문동","56","1988","삼익세라믹","42.93","11"
"50","2021","1","25","      59,200","11320"," 쌍문동","50","1993","현대2","85","12"
"51","2021","1","25","      72,000","11320"," 쌍문동","159","1999","대우파크빌","169.55","8"
"52","2021","1","26","      35,800","11320"," 쌍문동","56","1988","삼익세라믹","42.93","3"
"53","2021","1","27","      29,500","11320"," 쌍문동","59","1989","한양2","35.1","11"
"54","2021","1","27","      34,800","11320"," 쌍문동","724","1981","백조","56.73","3"
"55","2021","1","28","      16,000","11320"," 쌍문동","128-2","2002","한솔캐스빌","48.88","1"
"56","2021","1","28","      16,000","11320"," 쌍문동","128-2","2002","한솔캐스빌","48.88","1"
"57","2021","1","29","      55,000","11320"," 쌍문동","199-1","1990","금호1","70.13","15"
"58","2021","1","29","      30,000","11320"," 쌍문동","73","1988","경남","46.3","8"
"59","2021","1","30","      56,200","11320"," 쌍문동","54","1990","현대1","84.66","2"
"60","2021","1","30","      58,000","11320"," 쌍문동","54","1990","현대1","84.66","5"
"61","2021","1","30","      44,900","11320"," 쌍문동","56","1988","삼익세라믹","58.77","2"
"62","2021","1","30","      56,200","11320"," 쌍문동","54","1990","현대1","84.66","2"
"63","2021","1","30","      29,800","11320"," 쌍문동","575","2003","시그마팰리스","70","14"
"64","2021","1","4","      54,500","11320"," 방학동","735","1996","성원아파트","84.54","13"
"65","2021","1","4","      49,700","11320"," 방학동","740","2004","동양크레오아파트","84.9358","2"
"66","2021","1","4","      54,500","11320"," 방학동","735","1996","성원아파트","84.54","13"
"67","2021","1","5","      38,700","11320"," 방학동","271-1","1988","신동아아파트1","53.16","3"
"68","2021","1","5","      46,000","11320"," 방학동","734","1995","청구아파트","70.69","8"
"69","2021","1","6","      80,000","11320"," 방학동","689","2005","동부센트레빌아파트","131.336","13"
"70","2021","1","6","      30,000","11320"," 방학동","444-31","1987","대원그린아파트","53.7","9"
"71","2021","1","6","      71,000","11320"," 방학동","716-5","2003","이에스에이아파트2","84.98","15"
"72","2021","1","6","      53,000","11320"," 방학동","734","1995","청구아파트","84.97","2"
"73","2021","1","7","      57,700","11320"," 방학동","531","1992","신동아아파트2","84.82","8"
"74","2021","1","7","      47,200","11320"," 방학동","271-1","1988","신동아아파트1","62.22","5"
"75","2021","1","8","      59,500","11320"," 방학동","734","1994","청구아파트","84.97","13"
"76","2021","1","8","      59,800","11320"," 방학동","271-1","1986","신동아아파트1","84.87","5"
"77","2021","1","11","      63,000","11320"," 방학동","716-5","2003","이에스에이아파트2","84.98","17"
"78","2021","1","11","      27,200","11320"," 방학동","636","2016","송학휴스테이","51.867","5"
"79","2021","1","11","      38,900","11320"," 방학동","275","1991","벽산아파트1","52.36","11"
"80","2021","1","12","      54,000","11320"," 방학동","531","1992","신동아아파트2","84.82","12"
"81","2021","1","12","      25,700","11320"," 방학동","636","2016","송학휴스테이","51.257","1"
"82","2021","1","13","      49,500","11320"," 방학동","266-3","1998","성원105동","107.09","10"
"83","2021","1","13","      26,500","11320"," 방학동","636","2016","송학휴스테이","51.867","2"
"84","2021","1","13","      37,000","11320"," 방학동","271-1","1988","신동아아파트1","53.16","7"
"85","2021","1","13","      48,000","11320"," 방학동","531","1992","신동아아파트2","72.92","15"
"86","2021","1","14","      45,000","11320"," 방학동","275","1991","벽산아파트1","84.96","12"
"87","2021","1","14","      39,000","11320"," 방학동","275","1991","벽산아파트1","63.38","1"
"88","2021","1","14","      60,500","11320"," 방학동","734","1995","청구아파트","84.97","4"
"89","2021","1","14","      44,900","11320"," 방학동","496","1998","벽산아파트2","59.581","4"
"90","2021","1","15","      71,700","11320"," 방학동","713","2003","브라운스톤방학아파트","84.9","16"
"91","2021","1","15","      24,500","11320"," 방학동","444-31","1987","대원그린아파트","46.86","1"
"92","2021","1","15","      81,000","11320"," 방학동","718-7","2003","이에스에이아파트1","126.97","18"
"93","2021","1","15","      55,000","11320"," 방학동","508","1993","우성아파트2","84.98","3"
"94","2021","1","16","      36,500","11320"," 방학동","271-1","1986","신동아아파트1","51.27","5"
"95","2021","1","16","      43,500","11320"," 방학동","701-15","1994","거성학마을아파트","77.05","1"
"96","2021","1","16","      28,000","11320"," 방학동","444-31","1987","대원그린아파트","46.86","5"
"97","2021","1","16","      33,500","11320"," 방학동","274","1988","삼익세라믹아파트","42.93","10"
"98","2021","1","16","      43,000","11320"," 방학동","736","1997","신동아타워아파트","60","9"
"99","2021","1","16","      55,500","11320"," 방학동","507","1992","우성아파트1","84.69","4"
"100","2021","1","16","     119,000","11320"," 방학동","720-18","2002","방학동삼성래미안1","118.381","17"
"101","2021","1","16","      49,300","11320"," 방학동","496","1998","벽산아파트2","84.98","1"
"102","2021","1","17","      32,800","11320"," 방학동","274","1988","삼익세라믹아파트","42.93","9"
"103","2021","1","18","      41,000","11320"," 방학동","271-1","1988","신동아아파트1","53.16","8"
"104","2021","1","18","      53,500","11320"," 방학동","507","1992","우성아파트1","83.85","9"
"105","2021","1","18","      85,500","11320"," 방학동","720-1","2001","대상타운현대아파트","101.4","11"
"106","2021","1","18","      51,000","11320"," 방학동","730","1993","극동아파트","84.935","8"
"107","2021","1","19","      47,000","11320"," 방학동","531","1992","신동아아파트2","72.92","1"
"108","2021","1","20","      39,750","11320"," 방학동","507","1992","우성아파트1","51.91","6"
"109","2021","1","20","      43,800","11320"," 방학동","271-1","1988","신동아아파트1","53.16","13"
"110","2021","1","20","      54,500","11320"," 방학동","507","1992","우성아파트1","84.69","4"
"111","2021","1","21","      87,500","11320"," 방학동","720-1","2001","대상타운현대아파트","101.4","10"
"112","2021","1","21","      55,000","11320"," 방학동","713-12","2003","우암쎈스뷰아파트","84.2","1"
"113","2021","1","21","      31,500","11320"," 방학동","271-1","1988","신동아아파트1","43.35","2"
"114","2021","1","21","      75,500","11320"," 방학동","713","2003","브라운스톤방학아파트","84.9","19"
"115","2021","1","21","      77,700","11320"," 방학동","271-1","1990","신동아아파트1","112.49","14"
"116","2021","1","21","      55,500","11320"," 방학동","531","1992","신동아아파트2","84.82","10"
"117","2021","1","22","      90,000","11320"," 방학동","720-1","2001","대상타운현대아파트","84.78","8"
"118","2021","1","22","      45,000","11320"," 방학동","271-1","1987","신동아아파트1","70.62","2"
"119","2021","1","22","      92,000","11320"," 방학동","720-18","2002","방학동삼성래미안1","134.981","3"
"120","2021","1","22","      60,000","11320"," 방학동","508","1993","우성아파트2","84.98","6"
"121","2021","1","25","      57,000","11320"," 방학동","734","1995","청구아파트","84.97","3"
"122","2021","1","26","      45,000","11320"," 방학동","271-1","1988","신동아아파트1","53.16","10"
"123","2021","1","26","     110,000","11320"," 방학동","720-18","2002","방학동삼성래미안1","134.981","3"
"124","2021","1","26","      59,000","11320"," 방학동","508","1993","우성아파트2","84.98","6"
"125","2021","1","27","      60,000","11320"," 방학동","271-1","1986","신동아아파트1","84.87","5"
"126","2021","1","28","      27,500","11320"," 방학동","636","2016","송학휴스테이","51.021","1"
"127","2021","1","28","      34,000","11320"," 방학동","507","1992","우성아파트1","51.91","12"
"128","2021","1","28","      54,500","11320"," 방학동","271-1","1987","신동아아파트1","70.62","8"
"129","2021","1","29","       9,600","11320"," 방학동","705-17","2013","퍼스티안","13.6794","10"
"130","2021","1","29","      48,500","11320"," 방학동","531","1992","신동아아파트2","72.92","2"
"131","2021","1","29","      75,000","11320"," 방학동","271-1","1989","신동아아파트1","112.49","5"
"132","2021","1","29","      49,000","11320"," 방학동","522","2001","북한산팰리스아파트","157.14","1"
"133","2021","1","29","      83,500","11320"," 방학동","715-12","2002","방학동삼성래미안2","84.937","9"
"134","2021","1","30","      55,000","11320"," 방학동","271-1","1987","신동아아파트1","84.87","2"
"135","2021","1","30","      35,000","11320"," 방학동","444-31","1987","대원그린아파트","53.7","6"
"136","2021","1","2","      59,900","11320"," 창동","316","1990","창동주공2단지","49.94","10"
"137","2021","1","2","      49,000","11320"," 창동","316","1990","창동주공2단지","36.16","12"
"138","2021","1","2","      34,120","11320"," 창동","38","1989","주공17단지","36.34","5"
"139","2021","1","4","      72,000","11320"," 창동","347","1990","창동주공3단지(해등마을)","58.01","8"
"140","2021","1","4","      52,500","11320"," 창동","817","2004","수산트리플","59.86","5"
"141","2021","1","4","      65,000","11320"," 창동","814","2000","대우그린","59.97","4"
"142","2021","1","5","      74,800","11320"," 창동","807","1997","쌍용","59.88","23"
"143","2021","1","5","      67,500","11320"," 창동","808","1997","동아청솔","59.76","14"
"144","2021","1","5","     110,000","11320"," 창동","808","1997","동아청솔","84.97","7"
"145","2021","1","5","      83,300","11320"," 창동","347","1990","창동주공3단지(해등마을)","79.07","1"
"146","2021","1","5","      79,500","11320"," 창동","819","2003","태영데시앙","84.995","5"
"147","2021","1","5","      35,000","11320"," 창동","38","1989","주공17단지","36.16","6"
"148","2021","1","5","      36,000","11320"," 창동","38","1989","주공17단지","36.16","2"
"149","2021","1","6","      35,300","11320"," 창동","810","1998","신창","49.77","7"
"150","2021","1","6","      35,100","11320"," 창동","38","1989","주공17단지","36.16","5"
"151","2021","1","6","      69,500","11320"," 창동","808","1997","동아청솔","59.445","16"
"152","2021","1","6","      69,500","11320"," 창동","808","1997","동아청솔","59.445","11"
"153","2021","1","7","      38,000","11320"," 창동","38","1989","주공17단지","36.16","8"
"154","2021","1","7","      31,500","11320"," 창동","715-3","2005","미소애","45.466","4"
"155","2021","1","7","      35,000","11320"," 창동","38","1989","주공17단지","36.34","3"
"156","2021","1","8","      57,500","11320"," 창동","347","1990","창동주공3단지(해등마을)","41.3","8"
"157","2021","1","8","      90,200","11320"," 창동","823","2004","금호어울림","84.99","12"
"158","2021","1","8","      90,200","11320"," 창동","823","2004","금호어울림","84.99","12"
"159","2021","1","9","      73,000","11320"," 창동","347","1990","창동주공3단지(해등마을)","61.52","6"
"160","2021","1","9","      76,500","11320"," 창동","347","1990","창동주공3단지(해등마을)","66.56","10"
"161","2021","1","9","      83,000","11320"," 창동","805","1996","동아그린","84.94","13"
"162","2021","1","9","      33,600","11320"," 창동","38","1989","주공17단지","36.16","1"
"163","2021","1","10","      44,000","11320"," 창동","373","1991","창동주공4단지","41.3","2"
"164","2021","1","11","      35,100","11320"," 창동","38","1989","주공17단지","36.16","5"
"165","2021","1","11","      60,000","11320"," 창동","805","1996","동아그린","84.94","11"
"166","2021","1","11","      36,000","11320"," 창동","38","1989","주공17단지","36.16","6"
"167","2021","1","11","      45,000","11320"," 창동","373","1991","창동주공4단지","41.3","1"
"168","2021","1","11","      85,000","11320"," 창동","825","2004","북한산아이파크5차","84.4516","2"
"169","2021","1","11","      87,000","11320"," 창동","823","2004","금호어울림","84.99","15"
"170","2021","1","12","      35,900","11320"," 창동","810","1998","신창","49.77","4"
"171","2021","1","12","      69,800","11320"," 창동","813","2000","현대조합","84.21","14"
"172","2021","1","12","      36,000","11320"," 창동","38","1989","주공17단지","36.16","1"
"173","2021","1","12","      57,500","11320"," 창동","373","1991","창동주공4단지","49.94","8"
"174","2021","1","12","      89,500","11320"," 창동","45","1992","삼성래미안","84.75","10"
"175","2021","1","13","      69,500","11320"," 창동","305","1990","창동주공1단지","59.22","13"
"176","2021","1","13","      46,000","11320"," 창동","373","1991","창동주공4단지","41.3","15"
