"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","2","2","     120,000","11560"," 영등포동","647","2002","영등포푸르지오","79.777","8"
"2","2021","2","2","     128,000","11560"," 영등포동","647","2002","영등포푸르지오","79.777","16"
"3","2021","2","3","      20,000","11560"," 영등포동","618-83","1969","영일","38.02","1"
"4","2021","2","9","     129,500","11560"," 영등포동","647","2002","영등포푸르지오","79.777","5"
"5","2021","2","17","      99,500","11560"," 영등포동","647","2002","영등포푸르지오","59.912","6"
"6","2021","2","1","      11,500","11560"," 영등포동1가","145","2012","내이처해밀","14.24","3"
"7","2021","2","4","      13,000","11560"," 영등포동1가","145","2012","내이처해밀","14.24","8"
"8","2021","2","4","      13,000","11560"," 영등포동1가","145","2012","내이처해밀","14.24","8"
"9","2021","2","3","      12,500","11560"," 영등포동2가","28-117","2013","이지리움S","13.35","5"
"10","2021","2","17","      13,500","11560"," 영등포동2가","28-117","2013","이지리움S","13.35","4"
"11","2021","2","17","      13,500","11560"," 영등포동2가","28-117","2013","이지리움S","13.35","4"
"12","2021","2","16","      12,500","11560"," 영등포동3가","19-2","2014","포레스트힐시티","13.53","5"
"13","2021","2","22","      60,000","11560"," 영등포동5가","49-1","1999","현대프라자","59.96","6"
"14","2021","2","9","      85,100","11560"," 영등포동7가","46-1","1998","경남아너스빌","59.9","2"
"15","2021","2","9","     149,000","11560"," 영등포동7가","203","2017","아크로타워스퀘어","71.98","22"
"16","2021","2","10","      94,500","11560"," 영등포동7가","202","2004","브라운스톤","84.9","9"
"17","2021","2","16","      89,000","11560"," 영등포동7가","202","2004","브라운스톤","84.78","15"
"18","2021","2","27","     150,800","11560"," 영등포동7가","203","2017","아크로타워스퀘어","84.69","3"
"19","2021","2","28","     149,000","11560"," 영등포동7가","203","2017","아크로타워스퀘어","84.71","8"
"20","2021","2","3","      13,500","11560"," 영등포동8가","51-1","2012","영등포메이준2011","12.11","18"
"21","2021","2","26","      13,500","11560"," 영등포동8가","51-1","2012","영등포메이준2011","12.11","18"
